label,source,subclass,generator,split,image_id,variant
1,sid_tampered,tampered,unknown,train,426db4b8426a3640,clean
1,sid_tampered,tampered,unknown,train,426db4b8426a3640,jpeg50
1,sid_tampered,tampered,unknown,train,426db4b8426a3640,resize05
1,sid_tampered,tampered,unknown,train,426db4b8426a3640,jitter02
1,sid_tampered,tampered,unknown,train,d82404397b43f2f3,clean
1,sid_tampered,tampered,unknown,train,d82404397b43f2f3,jpeg70
1,sid_tampered,tampered,unknown,train,d82404397b43f2f3,jpeg30
1,sid_tampered,tampered,unknown,train,d82404397b43f2f3,noise01
1,sid_tampered,tampered,unknown,train,bc3b981b223ef40c,clean
1,sid_tampered,tampered,unknown,train,bc3b981b223ef40c,blur05
1,sid_tampered,tampered,unknown,train,bc3b981b223ef40c,noise005
1,sid_tampered,tampered,unknown,train,bc3b981b223ef40c,crop08
1,sid_tampered,tampered,unknown,train,30f0b3c66df1f63d,clean
1,sid_tampered,tampered,unknown,train,30f0b3c66df1f63d,blur05
1,sid_tampered,tampered,unknown,train,30f0b3c66df1f63d,noise01
1,sid_tampered,tampered,unknown,train,30f0b3c66df1f63d,jitter02
1,sid_tampered,tampered,unknown,train,8d8c9f566bbf44ed,clean
1,sid_tampered,tampered,unknown,train,8d8c9f566bbf44ed,jpeg50
1,sid_tampered,tampered,unknown,train,8d8c9f566bbf44ed,jpeg30
1,sid_tampered,tampered,unknown,train,8d8c9f566bbf44ed,blur05
1,sid_tampered,tampered,unknown,train,068415ee5c83ab3b,clean
1,sid_tampered,tampered,unknown,train,068415ee5c83ab3b,jpeg50
1,sid_tampered,tampered,unknown,train,068415ee5c83ab3b,resize05
1,sid_tampered,tampered,unknown,train,068415ee5c83ab3b,noise005
1,sid_tampered,tampered,unknown,train,46d0e0afb8d99d86,clean
1,sid_tampered,tampered,unknown,train,46d0e0afb8d99d86,jpeg70
1,sid_tampered,tampered,unknown,train,46d0e0afb8d99d86,jpeg50
1,sid_tampered,tampered,unknown,train,46d0e0afb8d99d86,crop08
1,sid_tampered,tampered,unknown,train,1bdec9a7a80f3de5,clean
1,sid_tampered,tampered,unknown,train,1bdec9a7a80f3de5,jpeg70
1,sid_tampered,tampered,unknown,train,1bdec9a7a80f3de5,jitter02
1,sid_tampered,tampered,unknown,train,1bdec9a7a80f3de5,crop08
1,sid_tampered,tampered,unknown,train,9c80a8cd40e16ce6,clean
1,sid_tampered,tampered,unknown,train,9c80a8cd40e16ce6,jpeg90
1,sid_tampered,tampered,unknown,train,9c80a8cd40e16ce6,blur20
1,sid_tampered,tampered,unknown,train,9c80a8cd40e16ce6,resize05
1,sid_tampered,tampered,unknown,train,ce89985964526e99,clean
1,sid_tampered,tampered,unknown,train,ce89985964526e99,jpeg30
1,sid_tampered,tampered,unknown,train,ce89985964526e99,noise01
1,sid_tampered,tampered,unknown,train,ce89985964526e99,jitter02
1,sid_tampered,tampered,unknown,train,b7a1e43625aaa1cd,clean
1,sid_tampered,tampered,unknown,train,b7a1e43625aaa1cd,jpeg90
1,sid_tampered,tampered,unknown,train,b7a1e43625aaa1cd,jitter02
1,sid_tampered,tampered,unknown,train,b7a1e43625aaa1cd,crop08
1,sid_tampered,tampered,unknown,train,5923e02a4be8a795,clean
1,sid_tampered,tampered,unknown,train,5923e02a4be8a795,resize05
1,sid_tampered,tampered,unknown,train,5923e02a4be8a795,noise002
1,sid_tampered,tampered,unknown,train,5923e02a4be8a795,noise005
1,sid_tampered,tampered,unknown,train,b483ff08dd1ff8a3,clean
1,sid_tampered,tampered,unknown,train,b483ff08dd1ff8a3,jpeg90
1,sid_tampered,tampered,unknown,train,b483ff08dd1ff8a3,blur10
1,sid_tampered,tampered,unknown,train,b483ff08dd1ff8a3,resize05
1,sid_tampered,tampered,unknown,train,a61e791d96e6d473,clean
1,sid_tampered,tampered,unknown,train,a61e791d96e6d473,jpeg50
1,sid_tampered,tampered,unknown,train,a61e791d96e6d473,blur05
1,sid_tampered,tampered,unknown,train,a61e791d96e6d473,blur20
1,sid_tampered,tampered,unknown,train,1817e77b926a2d41,clean
1,sid_tampered,tampered,unknown,train,1817e77b926a2d41,jpeg50
1,sid_tampered,tampered,unknown,train,1817e77b926a2d41,jpeg30
1,sid_tampered,tampered,unknown,train,1817e77b926a2d41,noise005
1,sid_tampered,tampered,unknown,train,40437b9f9e230241,clean
1,sid_tampered,tampered,unknown,train,40437b9f9e230241,jpeg70
1,sid_tampered,tampered,unknown,train,40437b9f9e230241,blur10
1,sid_tampered,tampered,unknown,train,40437b9f9e230241,resize05
1,sid_tampered,tampered,unknown,train,8fa3176a25b5009a,clean
1,sid_tampered,tampered,unknown,train,8fa3176a25b5009a,jpeg70
1,sid_tampered,tampered,unknown,train,8fa3176a25b5009a,noise002
1,sid_tampered,tampered,unknown,train,8fa3176a25b5009a,jitter02
1,sid_tampered,tampered,unknown,train,3515ab0703d02aff,clean
1,sid_tampered,tampered,unknown,train,3515ab0703d02aff,jpeg70
1,sid_tampered,tampered,unknown,train,3515ab0703d02aff,jpeg30
1,sid_tampered,tampered,unknown,train,3515ab0703d02aff,crop08
1,sid_tampered,tampered,unknown,train,b276eb88478b9090,clean
1,sid_tampered,tampered,unknown,train,b276eb88478b9090,jpeg70
1,sid_tampered,tampered,unknown,train,b276eb88478b9090,blur05
1,sid_tampered,tampered,unknown,train,b276eb88478b9090,noise005
1,sid_tampered,tampered,unknown,train,ad8d006917d2513d,clean
1,sid_tampered,tampered,unknown,train,ad8d006917d2513d,blur05
1,sid_tampered,tampered,unknown,train,ad8d006917d2513d,blur20
1,sid_tampered,tampered,unknown,train,ad8d006917d2513d,crop08
1,sid_tampered,tampered,unknown,train,976fc80355eafa78,clean
1,sid_tampered,tampered,unknown,train,976fc80355eafa78,jpeg70
1,sid_tampered,tampered,unknown,train,976fc80355eafa78,noise002
1,sid_tampered,tampered,unknown,train,976fc80355eafa78,noise005
1,sid_tampered,tampered,unknown,train,74a9345dd232f0f2,clean
1,sid_tampered,tampered,unknown,train,74a9345dd232f0f2,jpeg90
1,sid_tampered,tampered,unknown,train,74a9345dd232f0f2,noise01
1,sid_tampered,tampered,unknown,train,74a9345dd232f0f2,jitter02
1,sid_tampered,tampered,unknown,train,222b0ddc1c1a5b3c,clean
1,sid_tampered,tampered,unknown,train,222b0ddc1c1a5b3c,jpeg30
1,sid_tampered,tampered,unknown,train,222b0ddc1c1a5b3c,blur20
1,sid_tampered,tampered,unknown,train,222b0ddc1c1a5b3c,noise005
1,sid_tampered,tampered,unknown,train,a8c723dad07b2692,clean
1,sid_tampered,tampered,unknown,train,a8c723dad07b2692,jpeg30
