label,source,subclass,generator,split,image_id,variant,face_present,face_px
1,so_fake_ood,full_synthetic,Imagen4,test_ood,c8def0334065f294,clean,1,159.54541015625
1,so_fake_ood,full_synthetic,Imagen4,test_ood,c8def0334065f294,jpeg90,1,159.95111083984375
1,so_fake_ood,full_synthetic,Imagen4,test_ood,c8def0334065f294,jpeg70,1,158.74594116210938
1,so_fake_ood,full_synthetic,Imagen4,test_ood,c8def0334065f294,jpeg50,1,158.6387939453125
1,so_fake_ood,full_synthetic,Imagen4,test_ood,c8def0334065f294,jpeg30,1,157.6155242919922
1,so_fake_ood,full_synthetic,Imagen4,test_ood,c8def0334065f294,blur05,1,159.12449645996094
1,so_fake_ood,full_synthetic,Imagen4,test_ood,c8def0334065f294,blur10,1,158.71006774902344
1,so_fake_ood,full_synthetic,Imagen4,test_ood,c8def0334065f294,blur20,1,158.1947021484375
1,so_fake_ood,full_synthetic,Imagen4,test_ood,c8def0334065f294,resize05,1,159.1641845703125
1,so_fake_ood,full_synthetic,Imagen4,test_ood,c8def0334065f294,resize025,1,155.96469116210938
1,so_fake_ood,full_synthetic,Imagen4,test_ood,c8def0334065f294,noise002,1,159.8019561767578
1,so_fake_ood,full_synthetic,Imagen4,test_ood,c8def0334065f294,noise005,1,158.57821655273438
1,so_fake_ood,full_synthetic,Imagen4,test_ood,c8def0334065f294,noise01,1,160.14903259277344
1,so_fake_ood,full_synthetic,Imagen4,test_ood,c8def0334065f294,jitter02,1,158.9302978515625
1,so_fake_ood,full_synthetic,Imagen4,test_ood,c8def0334065f294,crop08,1,183.73146057128906
1,so_fake_ood,full_synthetic,Hidream,test_ood,d344de1843b92292,clean,1,148.07286071777344
1,so_fake_ood,full_synthetic,Hidream,test_ood,d344de1843b92292,jpeg90,1,147.68846130371094
1,so_fake_ood,full_synthetic,Hidream,test_ood,d344de1843b92292,jpeg70,1,147.12393188476562
1,so_fake_ood,full_synthetic,Hidream,test_ood,d344de1843b92292,jpeg50,1,147.68983459472656
1,so_fake_ood,full_synthetic,Hidream,test_ood,d344de1843b92292,jpeg30,1,144.98318481445312
1,so_fake_ood,full_synthetic,Hidream,test_ood,d344de1843b92292,blur05,1,148.10902404785156
1,so_fake_ood,full_synthetic,Hidream,test_ood,d344de1843b92292,blur10,1,147.98562622070312
1,so_fake_ood,full_synthetic,Hidream,test_ood,d344de1843b92292,blur20,1,143.91529846191406
1,so_fake_ood,full_synthetic,Hidream,test_ood,d344de1843b92292,resize05,1,147.9993896484375
1,so_fake_ood,full_synthetic,Hidream,test_ood,d344de1843b92292,resize025,1,143.24974060058594
1,so_fake_ood,full_synthetic,Hidream,test_ood,d344de1843b92292,noise002,1,147.96925354003906
1,so_fake_ood,full_synthetic,Hidream,test_ood,d344de1843b92292,noise005,1,147.7601318359375
1,so_fake_ood,full_synthetic,Hidream,test_ood,d344de1843b92292,noise01,1,148.390869140625
1,so_fake_ood,full_synthetic,Hidream,test_ood,d344de1843b92292,jitter02,1,147.0381622314453
1,so_fake_ood,full_synthetic,Hidream,test_ood,d344de1843b92292,crop08,1,171.4755401611328
1,so_fake_ood,full_synthetic,GPT4o,test_ood,e613d5bf70525a32,clean,1,264.8056335449219
1,so_fake_ood,full_synthetic,GPT4o,test_ood,e613d5bf70525a32,jpeg90,1,264.7264099121094
1,so_fake_ood,full_synthetic,GPT4o,test_ood,e613d5bf70525a32,jpeg70,1,265.15606689453125
1,so_fake_ood,full_synthetic,GPT4o,test_ood,e613d5bf70525a32,jpeg50,1,263.53424072265625
1,so_fake_ood,full_synthetic,GPT4o,test_ood,e613d5bf70525a32,jpeg30,1,263.6654357910156
1,so_fake_ood,full_synthetic,GPT4o,test_ood,e613d5bf70525a32,blur05,1,264.8551940917969
1,so_fake_ood,full_synthetic,GPT4o,test_ood,e613d5bf70525a32,blur10,1,264.4583740234375
1,so_fake_ood,full_synthetic,GPT4o,test_ood,e613d5bf70525a32,blur20,1,264.3682556152344
1,so_fake_ood,full_synthetic,GPT4o,test_ood,e613d5bf70525a32,resize05,1,264.7375183105469
1,so_fake_ood,full_synthetic,GPT4o,test_ood,e613d5bf70525a32,resize025,1,264.419921875
1,so_fake_ood,full_synthetic,GPT4o,test_ood,e613d5bf70525a32,noise002,1,264.5999450683594
1,so_fake_ood,full_synthetic,GPT4o,test_ood,e613d5bf70525a32,noise005,1,265.4212646484375
1,so_fake_ood,full_synthetic,GPT4o,test_ood,e613d5bf70525a32,noise01,1,275.4273681640625
1,so_fake_ood,full_synthetic,GPT4o,test_ood,e613d5bf70525a32,jitter02,1,268.48004150390625
1,so_fake_ood,full_synthetic,GPT4o,test_ood,e613d5bf70525a32,crop08,1,329.5657043457031
0,so_fake_ood,real,,test_ood,38422dcb4247a0ad,clean,1,975.091552734375
0,so_fake_ood,real,,test_ood,38422dcb4247a0ad,jpeg90,1,974.6742553710938
0,so_fake_ood,real,,test_ood,38422dcb4247a0ad,jpeg70,1,978.5776977539062
0,so_fake_ood,real,,test_ood,38422dcb4247a0ad,jpeg50,1,971.450439453125
0,so_fake_ood,real,,test_ood,38422dcb4247a0ad,jpeg30,1,979.080810546875
0,so_fake_ood,real,,test_ood,38422dcb4247a0ad,blur05,1,974.6952514648438
0,so_fake_ood,real,,test_ood,38422dcb4247a0ad,blur10,1,971.1500854492188
0,so_fake_ood,real,,test_ood,38422dcb4247a0ad,blur20,1,969.1190795898438
0,so_fake_ood,real,,test_ood,38422dcb4247a0ad,resize05,1,970.1551513671875
0,so_fake_ood,real,,test_ood,38422dcb4247a0ad,resize025,1,973.2514038085938
0,so_fake_ood,real,,test_ood,38422dcb4247a0ad,noise002,1,976.1581420898438
0,so_fake_ood,real,,test_ood,38422dcb4247a0ad,noise005,1,967.5130615234375
0,so_fake_ood,real,,test_ood,38422dcb4247a0ad,noise01,1,978.6658935546875
0,so_fake_ood,real,,test_ood,38422dcb4247a0ad,jitter02,1,974.2484741210938
0,so_fake_ood,real,,test_ood,38422dcb4247a0ad,crop08,1,1198.4237060546875
0,so_fake_ood,real,,test_ood,b579d3b51a5c68ae,clean,1,292.4990539550781
0,so_fake_ood,real,,test_ood,b579d3b51a5c68ae,jpeg90,1,293.2197570800781
0,so_fake_ood,real,,test_ood,b579d3b51a5c68ae,jpeg70,1,292.1325378417969
0,so_fake_ood,real,,test_ood,b579d3b51a5c68ae,jpeg50,1,293.2197570800781
0,so_fake_ood,real,,test_ood,b579d3b51a5c68ae,jpeg30,1,293.2197570800781
0,so_fake_ood,real,,test_ood,b579d3b51a5c68ae,blur05,1,292.5382385253906
0,so_fake_ood,real,,test_ood,b579d3b51a5c68ae,resize025,1,293.2078552246094
0,so_fake_ood,real,,test_ood,b579d3b51a5c68ae,jitter02,1,291.1746826171875
